secu_code,secu_abbr,chi_spelling,listed_date,listed_sector,industry_code,first_industry_name,second_industry_name,third_industry_name
"603161.SH","科华控股","KHKG","2018.01.05",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603162.SH","海通发展","HTFZ","2023.03.29",1,"421101","交通运输","航运港口","航运"
"603166.SH","福达股份","FDGF","2014.11.27",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603167.SH","渤海轮渡","BHLD","2012.09.06",1,"421101","交通运输","航运港口","航运"
"603168.SH","莎普爱思","SPAS","2014.07.02",1,"370102","医药生物","化学制药","化学制剂"
"603169.SH","兰石重装","LSZZ","2014.10.09",1,"640203","机械设备","专用设备","能源及重型设备"
"603170.SH","宝立食品","BLSP","2022.07.15",1,"340901","食品饮料","调味发酵品Ⅱ","调味发酵品Ⅲ"
"603171.SH","税友股份","SYGF","2021.06.30",1,"710301","计算机","IT服务Ⅱ","IT服务Ⅲ"
"603172.SH","万丰股份","WFGF","2023.05.10",1,"220308","基础化工","化学制品","纺织化学制品"
"603176.SH","汇通集团","HTJT","2021.12.31",1,"620306","建筑装饰","基础建设","基建市政工程"
"603177.SH","德创环保","DCHB","2017.02.07",1,"760101","环保","环境治理","大气治理"
"603178.SH","圣龙股份","SLGF","2017.03.28",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603179.SH","新泉股份","XQGF","2017.03.17",1,"280206","汽车","汽车零部件","汽车电子电气系统"
"603181.SH","皇马科技","HMKJ","2017.08.24",1,"220309","基础化工","化学制品","其他化学制品"
"603182.SH","嘉华股份","JHGF","2022.09.09",1,"110502","农林牧渔","农产品加工","粮油加工"
"603183.SH","建研院","JYY","2017.09.05",1,"460802","社会服务","专业服务","检测服务"
"603186.SH","华正新材","HZXC","2017.01.03",1,"270202","电子","元件","印制电路板"
"603187.SH","海容冷链","HRLL","2018.11.29",1,"640105","机械设备","通用设备","制冷空调设备"
"603189.SH","网达软件","WDRJ","2016.09.14",1,"710401","计算机","软件开发","垂直应用软件"
"603191.SH","望变电气","WBDQ","2022.04.28",1,"630801","电力设备","电网设备","输变电设备"
"603192.SH","汇得科技","HDKJ","2018.08.28",1,"220313","基础化工","化学制品","聚氨酯"
"603197.SH","保隆科技","BLKJ","2017.05.19",1,"280205","汽车","汽车零部件","其他汽车零部件"
"603198.SH","迎驾贡酒","YJGJ","2015.05.28",1,"340501","食品饮料","白酒Ⅱ","白酒Ⅲ"
